title,rank,date,artist,url,region,chart,trend,streams
Wallah,145,2019-11-20,"DIVINE, Shah Rule",https://open.spotify.com/track/0d4PvVcC2GxJoVm76a5GQH,India,top200,MOVE_DOWN,19389.0
Reggaetón Lento (Bailemos),91,2018-02-26,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Bolivia,top200,MOVE_UP,1433.0
Raindrops On A Leaf - Live Uit Liefde Voor Muziek,41,2017-05-09,Lady Linn,https://open.spotify.com/track/3fE1ka0B7q5EN2PTB13DkF,Belgium,viral50,NEW_ENTRY,
Happier,54,2017-05-16,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Australia,top200,MOVE_UP,49757.0
Roll in Peace (feat. XXXTENTACION),173,2018-07-01,Kodak Black,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,Canada,top200,MOVE_UP,24745.0
Lo Que Tengo Yo,113,2017-04-02,Los 4,https://open.spotify.com/track/3zkYHtMYq0DyNSdiujEgcz,Peru,top200,MOVE_UP,7202.0
Moonlight,77,2020-01-12,Ali Gatie,https://open.spotify.com/track/6L4F4btXioJPhEwz6T7YYt,Malaysia,top200,MOVE_UP,10386.0
กาลครั้งหนึ่ง (feat. ปาล์มมี่ อีฟ ปานเจริญ),175,2018-04-19,Stamp,https://open.spotify.com/track/2jvtsWdI64fls66D8b3zhj,Thailand,top200,NEW_ENTRY,1613.0
Báilame - Remix,86,2017-08-02,"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian",https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,Guatemala,top200,NEW_ENTRY,2104.0
I Love You So,13,2021-11-12,The Walters,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc,Argentina,viral50,MOVE_DOWN,
Something Just Like This,132,2019-06-16,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Vietnam,top200,MOVE_DOWN,1969.0
changes,102,2018-12-01,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,United States,top200,MOVE_UP,387463.0
Tired,148,2018-02-24,"Alan Walker, Gavin James",https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,Norway,top200,MOVE_UP,11447.0
Sempre In Due,86,2017-12-01,Carl Brave x Franco126,https://open.spotify.com/track/74Ob1Kz1zv2q2l1yQtLWbB,Italy,top200,MOVE_DOWN,35844.0
Swervin (feat. 6ix9ine),42,2019-03-10,A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,United Kingdom,top200,MOVE_DOWN,118273.0
Me Rehúso,54,2018-10-26,Danny Ocean,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,El Salvador,top200,MOVE_DOWN,2197.0
星を仰ぐ,97,2021-06-01,Masaki Suda,https://open.spotify.com/track/1xIytdeA5bfj2ONu4x9Mj3,Japan,top200,MOVE_DOWN,38748.0
It's You,135,2021-01-27,Ali Gatie,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,United Arab Emirates,top200,MOVE_DOWN,1436.0
Die Very Rough,19,2020-12-01,Mario Judah,https://open.spotify.com/track/3brXaWuPsVScvYQKUh3Ijc,Finland,viral50,MOVE_UP,
All Around The World (La La La),52,2019-09-08,"R3HAB, A Touch Of Class",https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,Germany,top200,MOVE_DOWN,124125.0
ROCKSTAR (feat. Roddy Ricch),1,2020-06-12,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,Canada,top200,SAME_POSITION,240003.0
Mama,8,2017-08-29,"Jonas Blue, William Singe",https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,Slovakia,top200,MOVE_UP,3041.0
Cartier,108,2017-11-03,"Dopebwoy, Chivv, 3robi",https://open.spotify.com/track/6zcSWREy1vcJ4aWt7bzBW3,Belgium,top200,MOVE_DOWN,5395.0
Ride It,26,2019-11-03,Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,Paraguay,viral50,MOVE_UP,
Pa' Sentirte,21,2017-06-23,MOÜGLI,https://open.spotify.com/track/0SrG14Xserig27hIe35joS,Colombia,viral50,MOVE_UP,
說謊,144,2019-03-31,Yoga Lin,https://open.spotify.com/track/5EXpL9orGpIsscSyBgPdSx,Taiwan,top200,MOVE_DOWN,5073.0
Contrário,173,2018-10-28,Jonas Esticado,https://open.spotify.com/track/76NzI3TmJCAvw28nB3EGk2,Brazil,top200,MOVE_UP,61293.0
Beautiful (feat. Camila Cabello),30,2018-11-29,Bazzi,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,Indonesia,top200,MOVE_DOWN,47644.0
Hombre Con Alas,142,2019-08-17,El Cuarteto De Nos,https://open.spotify.com/track/1ta8luIrSDqQL4vva2MT1E,Uruguay,top200,MOVE_DOWN,1858.0
"Fala, Part II",39,2017-10-03,"P.A.F.F., Abel",https://open.spotify.com/track/5vuFbODsoHi9Smq8PR2Umj,Poland,viral50,MOVE_DOWN,
Majnoon,79,2019-05-03,Gee Dixon,https://open.spotify.com/track/2289Ieu0RMzNO1ufV1p9ji,Sweden,top200,MOVE_DOWN,40530.0
Loco,42,2021-11-01,Tiago PZK,https://open.spotify.com/track/6WeJGp7MB7sEEf9InLEvh1,Uruguay,top200,MOVE_UP,6915.0
Дом Периньон,19,2021-10-29,"Poshlaya Molly, Eldzhey",https://open.spotify.com/track/0i8YObgqnjZYoYJOQbwLHq,Ukraine,top200,MOVE_UP,14290.0
Tu Cuaderno,172,2019-11-16,The La Planta,https://open.spotify.com/track/7wTnc1IPNGU1h1sVEAgnvZ,Uruguay,top200,NEW_ENTRY,2047.0
มนุษย์เอ๋ย (HUMAN ERROR),158,2021-01-06,"Pop Pongkool, feat. AUTTA",https://open.spotify.com/track/1vMP3Ni4kGqTaXYRAHQ7iV,Thailand,top200,MOVE_DOWN,7661.0
Memories,9,2020-01-21,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Vietnam,top200,MOVE_DOWN,14540.0
Ta To Gucci (Remix),59,2019-02-08,"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone",https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C,Colombia,top200,MOVE_DOWN,15087.0
Qué Más Pues,33,2019-02-20,"Sech, Justin Quiles",https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0,Costa Rica,viral50,SAME_POSITION,
